行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润,发货时长_天,年份,月份,季度,星期,利润率,是否亏损,平均单价
1,US-202023-1357144,2024-04-27,2024-04-29,二级,曾惠-14485,曾惠,公司,杭州,浙江,中国,华东,办公用-用品-10002717,办公用品,用品,"Fiskars 剪刀, 蓝色",129.696,2,0.4,-60.70400000000001,2,2024,4,2,5,-0.46804835924006916,1,64.848
2,CN-202023-1973789,2024-06-15,2024-06-19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-信封-10004832,办公用品,信封,"GlobeWeis 搭扣信封, 红色",125.44,2,0.0,42.56,4,2024,6,2,5,0.3392857142857143,0,62.72
3,CN-202023-1973789,2024-06-15,2024-06-19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-装订-10001505,办公用品,装订机,"Cardinal 孔加固材料, 回收",31.92,2,0.4,4.199999999999999,4,2024,6,2,5,0.13157894736842102,0,15.96
4,US-202023-3017568,2024-12-09,2024-12-13,标准级,宋良-17170,宋良,公司,镇江,江苏,中国,华东,办公用-用品-10003746,办公用品,用品,"Kleencut 开信刀, 工业",321.216,4,0.4,-27.10400000000001,4,2024,12,4,0,-0.08437935843793587,1,80.304
5,CN-202022-2975416,2023-05-31,2023-06-02,二级,万兰-15730,万兰,消费者,汕头,广东,中国,中南,办公用-器具-10003452,办公用品,器具,"KitchenAid 搅拌机, 黑色",1375.92,3,0.0,550.2,2,2023,5,2,2,0.3998778998778999,0,458.64000000000004
6,CN-202021-4497736,2022-10-27,2022-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,技术-设备-10001640,技术,设备,"柯尼卡 打印机, 红色",11129.58,9,0.0,3783.78,4,2022,10,4,3,0.33997509339975096,0,1236.62
7,CN-202021-4497736,2022-10-27,2022-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-装订-10001029,办公用品,装订机,"Ibico 订书机, 实惠",479.92,2,0.0,172.76,4,2022,10,4,3,0.3599766627771295,0,239.96
8,CN-202021-4497736,2022-10-27,2022-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,家具-椅子-10000578,家具,椅子,"SAFCO 扶手椅, 可调",8659.84,4,0.0,2684.08,4,2022,10,4,3,0.3099456802897051,0,2164.96
9,CN-202021-4497736,2022-10-27,2022-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-纸张-10001629,办公用品,纸张,"Green Bar 计划信息表, 多色",588.0,5,0.0,46.90000000000001,4,2022,10,4,3,0.07976190476190478,0,117.6
10,CN-202021-4497736,2022-10-27,2022-10-31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-系固-10004801,办公用品,系固件,"Stockwell 橡皮筋, 整包",154.28,2,0.0,33.88,4,2022,10,4,3,0.21960072595281308,0,77.14
11,CN-202020-4195213,2021-12-22,2021-12-24,二级,谢雯-21700,谢雯,小型企业,榆林,陕西,中国,西北,技术-设备-10000001,技术,设备,"爱普生 计算器, 耐用",434.28,2,0.0,4.2,2,2021,12,4,2,0.009671179883945842,0,217.14
12,CN-202023-5801711,2024-06-01,2024-06-06,标准级,康青-19585,康青,消费者,哈尔滨,黑龙江,中国,东北,技术-复印-10002416,技术,复印机,"惠普 墨水, 红色",2368.8,4,0.0,639.52,5,2024,6,2,5,0.2699763593380614,0,592.2
13,CN-202021-2752724,2022-06-05,2022-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,办公用-信封-10000017,办公用品,信封,"Jiffy 局间信封, 银色",683.76,3,0.0,88.62,4,2022,6,2,6,0.1296068796068796,0,227.92
14,CN-202021-2752724,2022-06-05,2022-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-配件-10004920,技术,配件,"SanDisk 键区, 可编程",1326.5,5,0.0,344.4,4,2022,6,2,6,0.2596306068601583,0,265.3
15,CN-202021-2752724,2022-06-05,2022-06-09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-电话-10004349,技术,电话,"诺基亚 充电器, 蓝色",5936.56,2,0.0,2849.28,4,2022,6,2,6,0.479954721252712,0,2968.28
