客户 ID,最近购买日期,购买频率,购买金额,R_天数,客户名称,细分,地区,R_Score,F_Score,M_Score,RFM_总分,RFM_平均分,客户分群,价值等级
丁君-15280,2024-06-23,5,5236.924,190,丁君,消费者,中南,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
丁君-15280,2024-06-23,5,5236.924,190,丁君,消费者,华东,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
丁君-15280,2024-06-23,5,5236.924,190,丁君,消费者,东北,2,1,1,4,1.3333333333333333,需挽留客户,低价值客户
丁妮-18610,2024-09-16,14,32163.18,105,丁妮,公司,中南,3,3,4,10,3.3333333333333335,重要保持客户,重要客户
丁妮-18610,2024-09-16,14,32163.18,105,丁妮,公司,西北,3,3,4,10,3.3333333333333335,重要保持客户,重要客户
丁妮-18610,2024-09-16,14,32163.18,105,丁妮,公司,东北,3,3,4,10,3.3333333333333335,重要保持客户,重要客户
丁妮-18610,2024-09-16,14,32163.18,105,丁妮,公司,西南,3,3,4,10,3.3333333333333335,重要保持客户,重要客户
丁娇-14695,2024-10-26,8,14108.444,65,丁娇,公司,华东,3,1,2,6,2.0,一般客户,普通客户
丁娇-14695,2024-10-26,8,14108.444,65,丁娇,公司,西北,3,1,2,6,2.0,一般客户,普通客户
丁娇-14695,2024-10-26,8,14108.444,65,丁娇,公司,东北,3,1,2,6,2.0,一般客户,普通客户
丁婵-10990,2024-10-21,3,2854.012,70,丁婵,公司,中南,3,1,1,5,1.6666666666666667,一般客户,低价值客户
丁婵-10990,2024-10-21,3,2854.012,70,丁婵,公司,东北,3,1,1,5,1.6666666666666667,一般客户,低价值客户
丁婵-10990,2024-10-21,3,2854.012,70,丁婵,公司,西南,3,1,1,5,1.6666666666666667,一般客户,低价值客户
丁崆-15535,2024-05-06,11,18581.36,238,丁崆,消费者,华北,1,2,3,6,2.0,需挽留客户,普通客户
丁崆-15535,2024-05-06,11,18581.36,238,丁崆,消费者,华东,1,2,3,6,2.0,需挽留客户,普通客户
丁崆-15535,2024-05-06,11,18581.36,238,丁崆,消费者,西南,1,2,3,6,2.0,需挽留客户,普通客户
丁武-21925,2024-12-21,10,9480.492,9,丁武,消费者,华东,5,2,1,8,2.6666666666666665,一般客户,普通客户
丁武-21925,2024-12-21,10,9480.492,9,丁武,消费者,中南,5,2,1,8,2.6666666666666665,一般客户,普通客户
丁蔓-18025,2023-07-03,12,32442.451999999997,546,丁蔓楚,消费者,华东,1,3,4,8,2.6666666666666665,一般客户,普通客户
丁蔓-18025,2023-07-03,12,32442.451999999997,546,丁蔓楚,消费者,东北,1,3,4,8,2.6666666666666665,一般客户,普通客户
丁蔓-18025,2023-07-03,12,32442.451999999997,546,丁蔓楚,消费者,西北,1,3,4,8,2.6666666666666665,一般客户,普通客户
万兰-15730,2024-10-13,12,12837.720000000001,78,万兰,消费者,中南,3,3,2,8,2.6666666666666665,一般客户,普通客户
万兰-15730,2024-10-13,12,12837.720000000001,78,万兰,消费者,华东,3,3,2,8,2.6666666666666665,一般客户,普通客户
万兰-15730,2024-10-13,12,12837.720000000001,78,万兰,消费者,东北,3,3,2,8,2.6666666666666665,一般客户,普通客户
万兰-15730,2024-10-13,12,12837.720000000001,78,万兰,消费者,华北,3,3,2,8,2.6666666666666665,一般客户,普通客户
万冬-12460,2024-08-25,14,21343.559999999998,127,万冬露,消费者,东北,2,3,3,8,2.6666666666666665,一般客户,普通客户
