行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润
1,US-202023-1357144,2024/04/27,2024/04/29,二级,曾惠-14485,曾惠,公司,杭州,浙江,中国,华东,办公用-用品-10002717,办公用品,用品,"Fiskars 剪刀, 蓝色",129.696,2,0.4,-60.70400000000001
2,CN-202023-1973789,2024/06/15,2024/06/19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-信封-10004832,办公用品,信封,"GlobeWeis 搭扣信封, 红色",125.44,2,0.0,42.56
3,CN-202023-1973789,2024/06/15,2024/06/19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-装订-10001505,办公用品,装订机,"Cardinal 孔加固材料, 回收",31.92,2,0.4,4.199999999999999
4,US-202023-3017568,2024/12/09,2024/12/13,标准级,宋良-17170,宋良,公司,镇江,江苏,中国,华东,办公用-用品-10003746,办公用品,用品,"Kleencut 开信刀, 工业",321.216,4,0.4,-27.10400000000001
5,CN-202022-2975416,2023/05/31,2023/06/02,二级,万兰-15730,万兰,消费者,汕头,广东,中国,中南,办公用-器具-10003452,办公用品,器具,"KitchenAid 搅拌机, 黑色",1375.92,3,0.0,550.2
6,CN-202021-4497736,2022/10/27,2022/10/31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,技术-设备-10001640,技术,设备,"柯尼卡 打印机, 红色",11129.58,9,0.0,3783.78
7,CN-202021-4497736,2022/10/27,2022/10/31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-装订-10001029,办公用品,装订机,"Ibico 订书机, 实惠",479.92,2,0.0,172.76
8,CN-202021-4497736,2022/10/27,2022/10/31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,家具-椅子-10000578,家具,椅子,"SAFCO 扶手椅, 可调",8659.84,4,0.0,2684.08
9,CN-202021-4497736,2022/10/27,2022/10/31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-纸张-10001629,办公用品,纸张,"Green Bar 计划信息表, 多色",588.0,5,0.0,46.90000000000001
10,CN-202021-4497736,2022/10/27,2022/10/31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-系固-10004801,办公用品,系固件,"Stockwell 橡皮筋, 整包",154.28,2,0.0,33.88
11,CN-202020-4195213,2021/12/22,2021/12/24,二级,谢雯-21700,谢雯,小型企业,榆林,陕西,中国,西北,技术-设备-10000001,技术,设备,"爱普生 计算器, 耐用",434.28,2,0.0,4.2
12,CN-202023-5801711,2024/06/01,2024/06/06,标准级,康青-19585,康青,消费者,哈尔滨,黑龙江,中国,东北,技术-复印-10002416,技术,复印机,"惠普 墨水, 红色",2368.8,4,0.0,639.52
13,CN-202021-2752724,2022/06/05,2022/06/09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,办公用-信封-10000017,办公用品,信封,"Jiffy 局间信封, 银色",683.76,3,0.0,88.62
14,CN-202021-2752724,2022/06/05,2022/06/09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-配件-10004920,技术,配件,"SanDisk 键区, 可编程",1326.5,5,0.0,344.4
15,CN-202021-2752724,2022/06/05,2022/06/09,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-电话-10004349,技术,电话,"诺基亚 充电器, 蓝色",5936.56,2,0.0,2849.28
16,US-202022-2511714,2023/11/22,2023/11/25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-器具-10003582,办公用品,器具,"KitchenAid 冰箱, 黑色",10336.452,7,0.4,-3962.728
17,US-202022-2511714,2023/11/22,2023/11/25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-标签-10004648,办公用品,标签,"Novimex 圆形标签, 红色",85.25999999999999,3,0.0,38.22
18,CN-202023-5631342,2024/10/02,2024/10/04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,"Memorex 键盘, 实惠",2330.44,7,0.0,1071.14
19,CN-202023-5631342,2024/10/02,2024/10/04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,"Acme 尺子, 工业",85.54,1,0.0,23.94
20,CN-202023-5631342,2024/10/02,2024/10/04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,"Avery 孔加固材料, 耐用",137.9,5,0.0,2.1
21,CN-202023-5631342,2024/10/02,2024/10/04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,"Cardinal 装订机, 回收",397.32,6,0.0,126.84
22,CN-202023-5631342,2024/10/02,2024/10/04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,"三星 办公室电话机, 整包",2133.46,7,0.0,959.4200000000001
23,CN-202023-5631342,2024/10/02,2024/10/04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-复印-10002045,技术,复印机,"Hewlett 传真机, 数字化",4473.84,3,0.0,1162.98
24,CN-202023-5631342,2024/10/02,2024/10/04,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10004353,办公用品,用品,"Elite 开信刀, 工业",269.92,2,0.0,118.72
25,US-202022-4150614,2023/06/07,2023/06/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-书架-10004730,家具,书架,"Sauder 书架, 金属",1638.336,4,0.4,-464.4639999999999
26,US-202022-4150614,2023/06/07,2023/06/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-椅子-10002386,家具,椅子,"Office Star 摇椅, 可调",1204.56,3,0.4,60.05999999999995
27,US-202022-4150614,2023/06/07,2023/06/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-系固-10003889,办公用品,系固件,"OIC 图钉, 金属",198.66,5,0.4,-16.94000000000001
28,US-202022-4150614,2023/06/07,2023/06/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-系固-10003118,办公用品,系固件,"Accos 图钉, 混合尺寸",249.312,8,0.4,-58.688
29,US-202022-4150614,2023/06/07,2023/06/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-用品-10002717,办公用品,用品,"Fiskars 剪刀, 蓝色",389.088,6,0.4,-182.1120000000001
30,US-202022-4150614,2023/06/07,2023/06/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,技术-配件-10003585,技术,配件,"罗技 路由器, 实惠",692.4959999999999,1,0.4,-34.66399999999999
31,US-202022-4150614,2023/06/07,2023/06/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-用具-10001174,家具,用具,"Tenex 灯泡, 黑色",106.008,2,0.4,-9.071999999999989
32,CN-202023-4364300,2024/12/12,2024/12/15,二级,马丽-15910,马丽,消费者,上海,上海,中国,华东,办公用-装订-10004816,办公用品,装订机,"Wilson Jones 标签, 回收",158.9,5,0.0,72.8
33,CN-202023-3230180,2024/09/28,2024/10/02,二级,宋栋-12310,宋栋,公司,唐山,河北,中国,华北,办公用-收纳-10001942,办公用品,收纳具,"Fellowes 文件车, 金属",1272.88,2,0.0,585.48
34,CN-202023-3230180,2024/09/28,2024/10/02,二级,宋栋-12310,宋栋,公司,唐山,河北,中国,华北,家具-椅子-10000374,家具,椅子,"Harbour Creations 椅垫, 可调",1738.1,5,0.0,799.4
35,US-202022-1966627,2023/11/19,2023/11/23,标准级,巩虢-13495,巩虢,公司,宁波,浙江,中国,华东,家具-书架-10002226,家具,书架,"Dania 书架, 白色",1390.032,4,0.4,-486.528
36,CN-202022-1190387,2023/02/28,2023/03/01,一级,常松-20575,常松,消费者,上海,上海,中国,华东,家具-用具-10002645,家具,用具,"Advantus 灯泡, 耐用",398.9999999999999,5,0.0,0.0
37,CN-202022-3216455,2023/09/03,2023/09/06,二级,田黎-16450,田黎明,公司,厦门,福建,中国,华东,办公用-美术-10001683,办公用品,美术,"Boston 画布, 蓝色",250.32,1,0.0,32.48
38,CN-202022-4690757,2023/09/17,2023/09/21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,办公用-纸张-10003357,办公用品,纸张,"Green Bar 笔记本, 优质",834.1199999999999,6,0.0,399.84
39,CN-202022-4690757,2023/09/17,2023/09/21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,办公用-收纳-10002029,办公用品,收纳具,"Smead 盘, 工业",228.48,1,0.0,77.56
40,CN-202022-4690757,2023/09/17,2023/09/21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,家具-桌子-10001094,家具,桌子,"Lesro 培训桌, 长方形",932.295,1,0.25,-211.365
41,CN-202022-4674220,2023/07/02,2023/07/05,一级,徐岱-11875,徐岱,公司,兰州,甘肃,中国,西北,办公用-纸张-10002597,办公用品,纸张,"SanDisk 羊皮纸, 每包 12 个",291.9,3,0.0,107.94
42,US-202022-3857264,2023/07/26,2023/08/01,标准级,武杰-14815,武杰,小型企业,淮阴,江苏,中国,华东,办公用-器具-10004757,办公用品,器具,"Breville 炉灶, 黑色",9424.296,6,0.4,-2042.544
43,CN-202022-4054371,2023/12/24,2023/12/26,二级,吕兰-15700,吕兰,消费者,肇源,黑龙江,中国,东北,办公用-器具-10003452,办公用品,器具,"KitchenAid 搅拌机, 黑色",4127.76,9,0.0,1650.6
44,CN-202020-2932548,2021/05/17,2021/05/22,二级,唐婉-21385,唐婉,小型企业,南昌,江西,中国,华东,办公用-收纳-10004212,办公用品,收纳具,"Fellowes 锁柜, 蓝色",1935.08,2,0.0,0.0
45,CN-202020-2932548,2021/05/17,2021/05/22,二级,唐婉-21385,唐婉,小型企业,南昌,江西,中国,华东,办公用-美术-10001691,办公用品,美术,"Sanford 钢笔, 混合尺寸",266.5600000000001,4,0.0,50.4
46,CN-202022-3476344,2023/07/16,2023/07/20,标准级,葛毅-12505,葛毅,消费者,合肥,安徽,中国,华东,办公用-装订-10000749,办公用品,装订机,"Ibico 打孔机, 透明",697.9000000000001,5,0.0,236.6
47,US-202022-5956361,2023/06/16,2023/06/18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,办公用-美术-10001467,办公用品,美术,"Boston 速写本, 蓝色",272.1599999999999,6,0.8,-1020.6
48,US-202022-5956361,2023/06/16,2023/06/18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,技术-电话-10004349,技术,电话,"诺基亚 充电器, 蓝色",1780.968,1,0.4,237.328
49,US-202022-5956361,2023/06/16,2023/06/18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,办公用-信封-10002675,办公用品,信封,"Ames 邮寄品, 银色",357.0,2,0.0,149.8
50,CN-202023-2396895,2024/06/19,2024/06/22,二级,薛磊-15985,薛磊,消费者,蛟河,吉林,中国,东北,技术-电话-10004015,技术,电话,"思科 充电器, 全尺寸",12183.36,4,0.0,1340.08
51,CN-202023-2396895,2024/06/19,2024/06/22,二级,薛磊-15985,薛磊,消费者,蛟河,吉林,中国,东北,技术-复印-10003216,技术,复印机,"Hewlett 传真机, 彩色",2999.36,2,0.0,1229.48
52,CN-202023-2396895,2024/06/19,2024/06/22,二级,薛磊-15985,薛磊,消费者,蛟河,吉林,中国,东北,办公用-收纳-10000501,办公用品,收纳具,"Tenex 盘, 工业",510.4399999999999,2,0.0,224.56
53,CN-202022-2828982,2023/05/22,2023/05/26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-器具-10000297,办公用品,器具,"Hamilton Beach 炉灶, 黑色",12641.3,5,0.0,3539.2
